date,display_date,description,link,series,html
10/13/1997,"Oct. 13-17, 1997",,,Potential Health Risks,"<p>The World Health Organization concludes that antibiotic use leads to the selection of resistant forms of bacteria, and that those resistant bacteria pose problems for preventing and treating disease in humans.</p><p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/328495-the-medical-impact-of-antimicrobial-use-in-food#document/p7/a50897"">Read the Document</a></p>
"
7/9/1998,"July 9, 1998","The National Academy publishes a report on the benefits and risks of using drugs in livestock, recommending the creation of national databases to study and develop policies on antibiotic use in animals. It also states that if a ban were put in place, it is likely that ""costs would increase and meat prices would be higher than they were before the ban."" It calculates the economic cost to consumers at about $1.2 billion to $2.5 billion per year.",,Economic Factors,"
<object classid=""clsid:d27cdb6e-ae6d-11cf-96b8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0"" width=""175"" height=""250"" id=""napbookwrapper"" align=""middle"">
<param name=""allowScriptAccess"" value=""always"" />
<param name=""movie"" value=""http://www.nap.edu/napbookwrapper.swf"" />
<param name=""quality"" value=""high"" />
<param name=""wmode"" value=""transparent"" />
<param name=""flashvars"" value=""wid=381051989820120402165300&record_id=5137"" />
<embed src=""http://www.nap.edu/napbookwrapper.swf"" quality=""high"" flashvars=""wid=381051989820120402165300&record_id=5137"" wmode=""transparent"" bgcolor=""#ffffff"" width=""175"" height=""250"" name=""napbookwrapper"" align=""middle"" allowScriptAccess=""always"" allowFullScreen=""false"" type=""application/x-shockwave-flash"" pluginspage=""http://www.macromedia.com/go/getflashplayer""></embed>
</object>"
1/1/2001,Jan. 2001,,,,"<p>A report by the Union of Concerned Scientists estimates that  farmers in the United States feed healthy animals 24.6 million pounds of antibiotics per year (compared to 3 million pounds  used for human medicine).</p><p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/330307-jan-2001-hogging-it#document/p11/a50922"">Read the Document</a></p>"
6/1/2001,June 2001,The American Medical Association adopts a resolution that opposes using antibiotics for promoting growth in livestock.,,Potential Health Risks,
10/23/2003,"Oct. 23, 2003",,,FDA Decisions,"<p>The FDA publishes a set of recommendations for industry to asses the risk of new antibiotics for animals. The guidelines ""do not establish legally enforceable responsibilities.""</p><p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/328494-guidance-for-industry-152-evaluating-the-safety#document/p3/a50893"">Read the Document</a></p>"
1/1/2003,2003,The Institute of Medicine recommendeds that the FDA ban antibiotics for promoting growth in animals if those antibiotics are also used in humans.,,Calls for Action,
12/1/2003,"Dec. 1-5, 2003",,,Potential Health Risks,"<p>A joint report by the World Health Organization, World Organization for Animal Health, and Food and Agriculture Organization of the United Nations concludes that there is clear evidence of a human health risk from the antibiotic-resistance that comes from feeding antibiotics to animals, and that resistant bacteria travel from animals to humans primarily through food.</p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/328496-joint-fao-oie-who-expert-workshop#document/p3/a50898"">Read the Document</a>"
4/22/2004,"April  22, 2004",,,Potential Health Risks,"<p>The U.S. Government Accountability Office concludes that antibiotic-resistant bacteria have been transferred from animals to humans and pose a significant human health risk. The Department of Health and Human Services reviews their report and says ""we believe that there is a preponderance of evidence that the use of [antibiotics] in food- producing animals has adverse human consequences.""</p><p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/328497-gao-federal-agencies-need-to-better-focus#document/p2/a50900"">Read the Document</a></p>"
7/1/2004,July 2004,,,,"<p>The Infectious Diseases Society of America reports that ""about two million people acquire bacterial infections in U.S. hospitals each year, and 90,000 die as a result. About 70 percent of those infections are resistant to at least one drug.""</p><p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/330308-july-2004-bad-bugs-no-drugs#document/p5/a50923"">Read the Document</a></p>"
4/7/2005,"April 7, 2005",,,Calls for Action,"<p>Several environmental groups submit a Citizens Petition to the FDA (similar to a petition in 1999) urging the agency to act on its 1977 proposal to revoke approval of certain antibiotics in animals. </p><p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/330313-april-7-2005-citizens-petition-2005#document/p1/a50931"">Read the Document</a></p>"
1/1/2006,"Jan. 1, 2006","After reviewing the scientific evidence, the European Union bans the feeding of all antibiotics and related drugs to livestock for growth promotion.",,International Restrictions,
1/23/2008,"Jan. 23, 2008 ",,,Potential Health Risks,"<p>Microbiologist Tara Smith at the University of Iowa finds that seven out of ten pigs tested on farms in Iowa and Illonois carried MRSA, a ""superbug"" resistant to most modern antibiotics.</p><p><a class =""readmore"" href = ""http://www.ncbi.nlm.nih.gov/pubmed/19145257""> Read the study  &raquo;</a></p>"
1/1/2008,2008,"Congress mandates that all farm animal antibiotics manufacturers disclose annual sales figures, to be summarized and published by the FDA.",,Calls for Action,
3/17/2009,"March 17, 2009",Rep. Louise Slaughter introduces legislation in the House that would require the FDA to review its approval of seven different kinds of antibiotics for use in animals and revoke those which are deemed unsafe. ,,Calls for Action,
12/15/2009,"Oct. 15, 2009",,,Economic Factors,"<p>A study finds that antibiotic-resistant infections cost the U.S. health care system between $16.6 billion and $26 billion each year.</p><p><a class =""readmore"" href = ""http://www.ncbi.nlm.nih.gov/pubmed/19739972""> Read the study  &raquo;</a></p>"
7/1/2010,July 2010,,,Potential Health Risks,"<p>A study in Denmark finds that animal antibiotic use dropped 37% over the past 15 years (in part because of a government ban) and correspondingly, levels of resistant bacteria in animals and humans fell dramatically. Despite using less antibiotics, meat production levels stayed the same or increased.</p><p><a class =""readmore"" href = ""http://www.ncbi.nlm.nih.gov/pubmed/20594073""> Read the study  &raquo;</a></p>"
6/28/2010,"June 28, 2010",The FDA puts out draft guidance that asks the agricultural industry to stop using antibiotics for growth promotion in animals if those antibiotics are also used in humans.,,FDA Decisions,
7/1/2010,July 2010,"Testifying before Congress, the CDC says the scientific evidence suggests ""a link between antibiotic use in food animals and antibiotic resistance in humans.""",,Potential Health Risks,
12/11/2010,"Dec. 11, 2010",FDA releases its first annual estimate for the amount of antibiotics sold for use in livestock in the United States: approximately 29 million pounds.,,,
5/25/2011,"May 25, 2011",The Natural Resources Defense Council and other environmental groups sue the FDA to take action on withdrawing approval of certain antibiotics for use in animal feed. ,,Calls for Action,
9/6/2011,Sept. 6 2011,,,Calls for Action,"<p>A group of medical and public health groups, including the American Medical Association, the American College of Preventive Medicine and the National Foundation for Infectious Diseases issue a letter to Congress urging a stop to the overuse of antibiotics. ""While scientific understanding may evolve and improve over time, there is certainly enough evidence today to warrant action,"" the letter says. </p><p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/328498-joint-letter-on-state-of-the-science-re#document/p3/a50887"">Read the Document</a></p>"
11/7/2011,"Nov. 7, 2011",,,FDA Decisions,"<p>The FDA finally responds to the 1999 and 2005 citizen petitions, denying both. It says that ""for various reasons the Agency has decided not to institute formal withdrawal proceedings at this time and instead is currently pursuing other alternatives to address the issue of antimicrobial resistance related to the production use of antimicrobials in animal agriculture.""</p><p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/330312-nov-7-2011-fda-response-to-1999-petition#document/p4/a50929"">Read the 1999 Denial</a></p><p><a  class =""readmore"" href=""https://www.propublica.org/documents/item/330311-nov-7-2011-fda-response-to-2005-petition#document/p1/a50930"">Read the 2005 Denial</a></p>"
11/27/2011,"Nov. 27, 2011",The European Parliament urges the EU to expand the current ban on antibiotics for animal growth promotion to include  antibiotics used to treat animal diseases.,,International Restrictions,
12/22/2011,"Dec. 22, 2011","The FDA withdraws its 1977 proposals to eliminate certain antibiotics in animal feed. Instead, it states the agency is  ""engaging in other ongoing regulatory strategies...with respect to addressing microbial food safety issues.""",,FDA Decisions,
1/4/2012,"Jan. 4th, 2012",The FDA prohibits a certain class of antibiotics (cephalosporin) for use in animal feed except to treat disease. This class makes up  0.3% of all antibiotics used for livestock.,,FDA Decisions,
3/22/2012,"March 22, 2012","A U.S. district court judge orders the FDA to start a process to revoke approval of some antibiotics for use in healthy animals, unless manufacturers can prove them safe. FDA spokeswoman Siobhan DeLancey said the FDA is currently ""reviewing the opinion and considering our options.""",,FDA Decisions,
4/11/2012,"April 11, 2012",,,FDA Decisions,"<p>The FDA announces that it will take steps to restrict antibiotic use, by requiring farmers to get a prescription for the antibiotics they feed to animals. It also calling for drug companies to revise their antibiotic labeling so that ""growth promotion"" is no longer a valid use.</p><p><a class =""readmore"" href =""http://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm299802.htm""></a><p>"
